,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
489,26,2024-02-20,@,Fordham,Davidson,L,53,68,18,55,.327,6,27,.222,11,17,.647,11,33,10,4,3,10,20,,22,48,.458,6,16,.375,18,26,.692,5,32,11,6,4,7,15
490,27,2024-02-23,,Fordham,Duquesne,W,79,67,27,52,.519,8,19,.421,17,24,.708,12,39,18,9,9,16,22,,19,55,.345,6,16,.375,23,27,.852,7,23,10,12,4,11,20
491,28,2024-02-27,,Fordham,George Mason,W,61,60,19,59,.322,12,30,.400,11,14,.786,12,30,12,7,8,7,16,,22,51,.431,5,15,.333,11,15,.733,7,34,12,3,5,14,15
492,29,2024-03-02,@,Fordham,St. Joseph's,L,69,82,25,61,.410,7,24,.292,12,19,.632,15,38,8,5,2,16,21,,30,65,.462,7,28,.250,15,21,.714,9,31,21,10,4,8,17
493,30,2024-03-06,@,Fordham,UMass,L,64,66,23,65,.354,7,28,.250,11,19,.579,15,34,13,4,2,6,21,,22,52,.423,7,19,.368,15,24,.625,6,33,10,1,3,7,19
494,31,2024-03-09,,Fordham,Rhode Island,L,50,58,17,63,.270,7,29,.241,9,15,.600,9,34,10,5,6,11,22,,18,46,.391,3,19,.158,19,30,.633,6,37,8,6,1,15,17
495,32,2024-03-12,N,Fordham,Davidson,W (1 OT),71,63,24,68,.353,6,24,.250,17,24,.708,18,38,13,12,4,14,18,,22,49,.449,5,17,.294,14,21,.667,3,27,12,7,10,19,18
496,33,2024-03-13,N,Fordham,VCU,L,62,69,20,49,.408,9,25,.360,13,18,.722,8,27,4,7,2,12,24,,17,42,.405,8,21,.381,27,39,.692,10,31,10,8,3,13,19
497,1,2023-11-06,,Davidson,Washington & Lee,W,86,63,29,67,.433,10,36,.278,18,24,.750,15,43,14,7,5,6,15,,21,55,.382,7,18,.389,14,16,.875,6,25,9,2,2,10,24
498,2,2023-11-10,N,Davidson,Maryland,W,64,61,21,49,.429,8,15,.533,14,21,.667,8,31,15,11,3,14,21,,20,57,.351,5,23,.217,16,21,.762,14,32,13,8,5,13,18
499,3,2023-11-12,N,Davidson,Clemson,L,65,68,22,56,.393,9,25,.360,12,17,.706,9,33,12,5,2,9,15,,26,57,.456,12,31,.387,4,8,.500,7,29,17,3,6,9,16
500,4,2023-11-17,@,Davidson,ETSU,L,68,70,20,50,.400,6,19,.316,22,28,.786,5,30,8,7,4,11,22,,23,58,.397,9,27,.333,15,22,.682,14,41,10,8,2,14,24
501,5,2023-11-21,,Davidson,Boston University,W,69,45,29,61,.475,7,27,.259,4,6,.667,9,38,15,6,0,9,8,,19,56,.339,5,23,.217,2,4,.500,6,27,10,5,0,10,13
502,6,2023-11-24,@,Davidson,Saint Mary's,L,55,89,17,47,.362,4,17,.235,17,24,.708,7,17,5,10,0,12,8,,34,65,.523,15,31,.484,6,8,.750,18,43,24,6,6,12,19
503,7,2023-11-29,@,Davidson,Charlotte,W,85,81,30,56,.536,12,23,.522,13,16,.813,5,25,19,5,0,8,11,,31,57,.544,9,26,.346,10,12,.833,5,25,18,6,4,7,16
504,8,2023-12-02,,Davidson,Wright State,W,82,73,30,52,.577,11,30,.367,11,19,.579,8,31,15,4,4,13,12,,31,62,.500,4,10,.400,7,11,.636,9,25,9,8,0,8,15
505,9,2023-12-06,,Davidson,Campbell,W,62,50,21,56,.375,6,25,.240,14,19,.737,7,36,10,6,2,8,13,,21,54,.389,4,25,.160,4,12,.333,4,30,9,4,2,10,14
506,10,2023-12-09,,Davidson,Miami (OH),W,79,61,30,62,.484,5,24,.208,14,14,1.000,12,41,12,8,2,8,13,,19,51,.373,9,28,.321,14,16,.875,3,22,13,4,0,11,16
507,11,2023-12-16,,Davidson,Lynchburg,W,98,63,34,65,.523,18,39,.462,12,14,.857,6,28,25,6,3,6,10,,22,52,.423,12,28,.429,7,10,.700,4,30,14,5,0,18,16
508,12,2023-12-21,,Davidson,USC Upstate,W,62,59,21,51,.412,6,25,.240,14,20,.700,7,31,10,4,1,6,8,,22,54,.407,9,28,.321,6,12,.500,7,30,13,4,3,7,13
509,13,2023-12-30,N,Davidson,Ohio,W,72,69,22,55,.400,6,25,.240,22,36,.611,12,41,11,10,5,14,23,,23,59,.390,7,20,.350,16,27,.593,10,39,14,6,6,15,26
510,14,2024-01-03,,Davidson,Dayton,L,59,72,21,54,.389,10,30,.333,7,11,.636,7,29,15,4,2,14,19,,26,52,.500,7,21,.333,13,22,.591,7,33,11,12,2,12,14
511,15,2024-01-09,,Davidson,Rhode Island,L,74,79,25,55,.455,9,23,.391,15,23,.652,7,26,14,5,2,8,22,,25,49,.510,7,20,.350,22,33,.667,5,31,12,3,4,12,21
